ID	Ima	Campo (T.m)	Corrente  rms	Campo Normalizado	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo
15692	S15-095	-360.1172	167.7998	-360.1209	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15721	S15-096	-360.1124	167.7992	-360.1148	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15749	S15-100	-359.5924	167.7996	-359.5956	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15778	S15-099	-359.5514	167.7988	-359.5529	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15806	S15-102	-359.9021	167.7988	-359.9036	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15836	S15-101	-359.6566	167.7986	-359.6577	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15889	S15-197	-359.7562	167.7985	-359.7571	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15917	S15-200	-359.6802	167.7990	-359.6821	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15945	S15-195	-359.8181	167.7993	-359.8207	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
15974	S15-209	-359.7892	167.7993	-359.7918	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16007	S15-125	-359.6440	167.7981	-359.6440	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16055	S15-155	-360.1051	167.7987	-360.1064	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16083	S15-153	-359.1487	167.7989	-359.1504	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16111	S15-156	-359.6449	167.7989	-359.6466	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16139	S15-211	-360.1253	167.7993	-360.1279	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16169	S15-204	-359.5565	167.7987	-359.5578	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16197	S15-199	-359.7714	167.7985	-359.7723	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16226	S15-210	-359.8790	167.7991	-359.8811	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16536	S15-166	-360.2343	167.7978	-360.2337	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16567	S15-171	-359.8720	167.7984	-359.8726	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16597	S15-170	-359.9582	167.7982	-359.9584	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16630	S15-175	-360.0043	167.7967	-360.0013	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
16661	S15-162	-359.8613	167.7980	-359.8611	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
